link_type,node_a,node_b,window_start_s,window_end_s
orbiter_earth,orbiter_1,earth,308640,313200
orbiter_earth,orbiter_1,earth,315720,320280
orbiter_earth,orbiter_1,earth,322800,327360
orbiter_earth,orbiter_1,earth,329880,334440
orbiter_earth,orbiter_1,earth,336960,341520
orbiter_earth,orbiter_1,earth,344070,348600
orbiter_earth,orbiter_1,earth,351150,355710
orbiter_earth,orbiter_1,earth,358230,362790
orbiter_earth,orbiter_1,earth,365310,369870
orbiter_earth,orbiter_1,earth,372390,376950
orbiter_earth,orbiter_1,earth,379470,384030
orbiter_earth,orbiter_1,earth,386550,391110
orbiter_earth,orbiter_1,earth,393630,398190
orbiter_earth,orbiter_1,earth,400710,405270
orbiter_earth,orbiter_1,earth,407790,412350
orbiter_earth,orbiter_1,earth,414870,419430
orbiter_earth,orbiter_1,earth,421950,426510
orbiter_earth,orbiter_1,earth,429060,433590
orbiter_earth,orbiter_1,earth,436140,440700
orbiter_earth,orbiter_1,earth,443220,447780
orbiter_earth,orbiter_1,earth,450300,454860
orbiter_earth,orbiter_1,earth,457380,461940
orbiter_earth,orbiter_1,earth,464460,469020
orbiter_earth,orbiter_1,earth,471540,476100
orbiter_earth,orbiter_1,earth,478620,483180
orbiter_earth,orbiter_1,earth,485700,490260
orbiter_earth,orbiter_1,earth,492780,497340
orbiter_earth,orbiter_1,earth,499860,504420
orbiter_earth,orbiter_1,earth,506940,511500
orbiter_earth,orbiter_1,earth,514050,518580
orbiter_earth,orbiter_1,earth,521130,525690
orbiter_earth,orbiter_1,earth,528210,532770
orbiter_earth,orbiter_1,earth,535290,539850
orbiter_earth,orbiter_1,earth,542370,546930
orbiter_earth,orbiter_1,earth,549450,554010
orbiter_earth,orbiter_1,earth,556530,561090
orbiter_earth,orbiter_1,earth,563610,568170
orbiter_earth,orbiter_1,earth,570690,575250
orbiter_earth,orbiter_1,earth,577770,582330
orbiter_earth,orbiter_1,earth,584850,589410
orbiter_earth,orbiter_1,earth,591930,596490
orbiter_earth,orbiter_1,earth,599040,603570
orbiter_earth,orbiter_1,earth,606120,610680
orbiter_earth,orbiter_1,earth,613200,617760
